,StudentID,Timestamp,state,prop,leaning,topUrl,isRelevant,isAd,non_us_loc,issues
44,44,2020-11-02 14:08:27,CA,22,0,"https://ballotpedia.org/California_Proposition_22,_App-Based_Drivers_as_Contractors_and_Labor_Policies_Initiative_(2020)",TRUE,FALSE,,"No complications, but my data may be biased as I have used ballotpedia extensively to research props/election candidates in the past; google saving my search history may have influenced the search results"
45,45,2020-11-02 14:12:48,Intl,24,0,https://www.nytimes.com/2020/10/28/opinion/california-prop-24-privacy.html,TRUE,FALSE,England,The second result is a new york times opinion piece  about how it's hard to read the whole proposition. It says that the proposition is good content-wise but  has its flaws - so i pegged it as neutral. It might be For too though because the author  seems to be alright with fixing a few things in the prop and then passing it.
45,45,2020-11-02 14:12:48,Intl,22,0,"https://ballotpedia.org/California_Proposition_22,_App-Based_Drivers_as_Contractors_and_Labor_Policies_Initiative_(2020)",TRUE,FALSE,England,The second result is a new york times opinion piece  about how it's hard to read the whole proposition. It says that the proposition is good content-wise but  has its flaws - so i pegged it as neutral. It might be For too though because the author  seems to be alright with fixing a few things in the prop and then passing it.
46,46,2020-11-02 14:16:46,CA,22,1,https://yeson22.com/?gclid=CjwKCAiA-f78BRBbEiwATKRRBMMeArqAyspPcJw9_f1bfYPoGQrIfuKJzdJCqDJA1dsCJI_DSGmPERoC_20QAvD_BwE,TRUE,TRUE,,
46,46,2020-11-02 14:16:46,CA,24,1,https://www.caprivacy.org/?utm_source=google&utm_medium=search&utm_campaign=prop24&utm_content=kids,TRUE,TRUE,,
47,47,2020-11-02 14:20:09,CA,22,1,https://yeson22.com/?gclid=CjwKCAiA-f78BRBbEiwATKRRBFtHHwK8vNWyPjfhWF-TnGHDpZIdhX44yPBeZSD4OD2BcgcHxBf8fhoCTeAQAvD_BwE,TRUE,TRUE,,
47,47,2020-11-02 14:20:09,CA,24,1,https://www.caprivacy.org/?utm_source=google&utm_medium=search&utm_campaign=prop24&utm_content=kids,TRUE,TRUE,,
48,48,2020-11-02 14:30:29,CA,22,1,https://yeson22.com/?gclid=CjwKCAiA-f78BRBbEiwATKRRBH3nF9O6kUSeMVQt8s9NGtz4X4t60yKGFalLhYf7WiLs0lOObNerTBoCbWAQAvD_BwE,TRUE,TRUE,,
48,48,2020-11-02 14:30:29,CA,24,1,https://www.caprivacy.org/?utm_source=google&utm_medium=search&utm_campaign=prop24&utm_content=kids,TRUE,TRUE,,
49,49,2020-11-02 14:37:09,CA,24,1,https://www.caprivacy.org/?utm_source=google&utm_medium=search&utm_campaign=prop24&utm_content=kids,TRUE,TRUE,,no
49,49,2020-11-02 14:37:09,CA,22,1,https://yeson22.com/?gclid=CjwKCAiA-f78BRBbEiwATKRRBNzRUWIULw5JidaA4a_zXL2fuu7WIeVRfOEaN0oTFovkSx92hy1QnhoC0-0QAvD_BwE,TRUE,TRUE,,no
50,50,2020-11-02 14:37:37,CA,24,0,"https://ballotpedia.org/California_Proposition_24,_Consumer_Personal_Information_Law_and_Agency_Initiative_(2020)",TRUE,FALSE,,No complications. I think I was confused on how to categorize the top results for the propositions as biased or neutral.
50,50,2020-11-02 14:37:37,CA,22,0,"https://ballotpedia.org/California_Proposition_22,_App-Based_Drivers_as_Contractors_and_Labor_Policies_Initiative_(2020)",TRUE,FALSE,,No complications. I think I was confused on how to categorize the top results for the propositions as biased or neutral.
51,51,2020-11-02 14:48:35,CA,24,1,https://www.caprivacy.org/?utm_source=google&utm_medium=search&utm_campaign=prop24&utm_content=kids,TRUE,TRUE,,
51,51,2020-11-02 14:48:35,CA,22,1,https://www.google.com/aclk?sa=l&ai=DChcSEwi_r6Kl-OTsAhUc_eMHHRBCChAYABAAGgJ5bQ&ae=2&sig=AOD64_2lPXuhh7z3SV5ANjlBjuPl0myGWQ&q&adurl&ved=2ahUKEwiG2pel-OTsAhUL7awKHbhtDSEQ0Qx6BAgFEAE,TRUE,TRUE,,
52,52,2020-11-02 15:47:38,CA,24,1,https://www.caprivacy.org/?utm_source=google&utm_medium=search&utm_campaign=prop24&utm_content=kids,TRUE,TRUE,,
52,52,2020-11-02 15:47:38,CA,22,1,https://yeson22.com/?gclid=CjwKCAiA-f78BRBbEiwATKRRBI-hIfRnfKKxOX2gLzKdVVVBZ1IqofWlwFLyXUYbt5KqeTy7yqRMHxoCJiAQAvD_BwE,TRUE,TRUE,,
